Ref,Val,Package,PosX,PosY,Rot,Side
"C1","220u","CP_Elec_8x6.9",193.920000,-90.080000,90.000000,top
"C2","220u","CP_Elec_8x6.9",168.290000,-98.750000,90.000000,top
"C3","220u","CP_Elec_8x6.9",177.870000,-98.750000,90.000000,top
"C4","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",188.420000,-86.830000,90.000000,top
"C5","1n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",186.320000,-86.830000,90.000000,top
"C7","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",145.905000,-146.380000,-90.000000,top
"C8","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.835000,-146.380000,-90.000000,top
"C9","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",147.875000,-146.380000,-90.000000,top
"C10","220u","CP_Elec_8x6.9",177.770000,-155.490000,-90.000000,top
"C11","220u","CP_Elec_8x6.9",168.820000,-155.490000,-90.000000,top
"C12","220u","CP_Elec_8x6.9",163.910000,-144.060000,90.000000,top
"C13","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",162.270000,-159.070000,0.000000,top
"C14","1n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",162.267500,-161.060000,0.000000,top
"C15","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",157.095000,-144.920000,90.000000,top
"C16","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",148.550000,-155.860000,90.000000,top
"C17","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",150.510000,-155.860000,90.000000,top
"C18","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",152.470000,-155.860000,90.000000,top
"C19","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",159.900000,-155.850000,90.000000,top
"C20","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",67.550000,-147.837500,180.000000,top
"C21","10p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",110.840000,-110.900000,-90.000000,top
"C22","10p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",110.840000,-124.100000,-90.000000,top
"C23","10p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",97.240000,-111.300000,-90.000000,top
"C24","10p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",97.240000,-124.050000,-90.000000,top
"C25","10p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",83.440000,-111.100000,-90.000000,top
"C26","10p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",83.440000,-124.100000,-90.000000,top
"C27","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",91.945000,-151.900000,180.000000,top
"C28","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",98.395000,-151.900000,180.000000,top
"C29","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",113.450000,-142.850000,-90.000000,top
"C30","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.600000,-148.450000,0.000000,top
"C31","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.600000,-146.450000,0.000000,top
"C32","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",115.420000,-142.850000,-90.000000,top
"C33","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.600000,-144.450000,0.000000,top
"C34","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",121.700000,-121.862500,-90.000000,top
"C35","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",119.700000,-121.862500,-90.000000,top
"C36","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",123.700000,-121.862500,-90.000000,top
"C37","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",111.250000,-142.850000,90.000000,top
"C38","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",126.850000,-127.300000,-90.000000,top
